2013-09-16 00:11:19,722 [33] INFO  Umbraco.Core.PluginManager - [Thread 25] Determining hash of code files on disk
2013-09-16 00:11:19,740 [33] INFO  Umbraco.Core.PluginManager - [Thread 25] Hash determined (took 10ms)
2013-09-16 00:11:19,751 [33] INFO  Umbraco.Core.PluginManager - [Thread 25] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2013-09-16 00:11:20,075 [33] INFO  Umbraco.Core.PluginManager - [Thread 25] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 16 (took 323ms)
2013-09-16 00:11:20,108 [33] INFO  Umbraco.Core.PluginManager - [Thread 25] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2013-09-16 00:11:20,117 [33] INFO  Umbraco.Core.PluginManager - [Thread 25] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 8ms)
2013-09-16 00:11:20,119 [33] INFO  Umbraco.Core.PluginManager - [Thread 25] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2013-09-16 00:11:20,126 [33] INFO  Umbraco.Core.PluginManager - [Thread 25] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 7ms)
2013-09-16 00:11:20,127 [33] INFO  Umbraco.Core.PluginManager - [Thread 25] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2013-09-16 00:11:20,135 [33] INFO  Umbraco.Core.PluginManager - [Thread 25] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 3 (took 7ms)
2013-09-16 00:11:20,137 [33] INFO  Umbraco.Core.PluginManager - [Thread 25] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2013-09-16 00:11:20,146 [33] INFO  Umbraco.Core.PluginManager - [Thread 25] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 8ms)
2013-09-16 00:11:20,146 [33] INFO  Umbraco.Core.PluginManager - [Thread 25] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2013-09-16 00:11:20,155 [33] INFO  Umbraco.Core.PluginManager - [Thread 25] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 8ms)
2013-09-16 00:11:20,167 [33] INFO  Umbraco.Core.ApplicationContext - [Thread 25] CurrentVersion different from configStatus: '6.1.5',''
2013-09-16 00:11:20,167 [33] INFO  Umbraco.Core.ApplicationContext - [Thread 25] CurrentVersion different from configStatus: '6.1.5',''
2013-09-16 00:11:20,168 [33] INFO  Umbraco.Core.ApplicationContext - [Thread 25] CurrentVersion different from configStatus: '6.1.5',''
2013-09-16 00:11:20,168 [33] INFO  Umbraco.Core.ApplicationContext - [Thread 25] CurrentVersion different from configStatus: '6.1.5',''
2013-09-16 00:11:20,168 [33] INFO  Umbraco.Core.ApplicationContext - [Thread 25] CurrentVersion different from configStatus: '6.1.5',''
